"Source:","C:\Users\felip\OneDrive\Documents\KiCad\SafetyPCB\SafetyPCB.kicad_sch"
"Date:","11/5/2022 12:25:50 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","ARROW PART NUMBER","ARROW PRICE/STOCK","DATASHEET LINK","HEIGHT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER PART NUMBER","MOUSER PRICE/STOCK","PUBLISHER"
"","","Q4","~","Sheet1-altium-import:0_mirrored_BCW66GLT1G","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_SOT95P237X111-3N","","BCW66GLT1G","https://www.arrow.com/en/products/bcw66glt1g/on-semiconductor","http://www.onsemi.com/pub/Collateral/BCW66GLT1-D.PDF","1.11mm","","","ON Semiconductor","BCW66GLT1G","863-BCW66GLT1G","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/BCW66GLT1G?qs=R2UZ7gjkEjKs0bN2RlXbWw%3D%3D",""
"","","R1","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R2","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R3","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R4","~","Sheet1-altium-import:2_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R5","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R6","RC0603DR-07270KL","SafetyPCB-altium-import:1_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R7","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R8","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
"","","R9","RC0603DR-07270KL","SafetyPCB-altium-import:0_RC0603DR-07270KL","C:_Users_luke__Documents_AltiumLL_SamacSys.PcbLib_RESC1608X55N","","RC0603DR-07270KL","https://www.arrow.com/en/products/rc0603dr-07270kl/yageo","http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_v5.pdf","0.55mm","","","YAGEO (PHYCOMP)","RC0603DR-07270KL","","",""
